offender_id,tag_install_date,tag_type,dob,sex,ethnic_group,original_offence
RCE8295SRY,2022-08-24,alcohol,1952-05-16,male,unknown,Summary motoring
VUC8796CAJ,2022-12-03,curfew,1923-08-23,male,unknown,Fraud
JMU7796FFD,2022-11-07,location,1918-06-19,female,black,Summary non-motoring
CCI7476TTT,2022-11-24,curfew,1930-06-02,male,unknown,Other Indictable
XYV1673PZO,2022-08-01,location,1996-07-27,female,unknown,Violence against the person
UWD3127WEB,2022-11-03,alcohol,1958-09-16,male,mixed,Drug offence
EEU9131DGZ,2022-12-25,location,1986-04-14,male,mixed,Criminal Damage
HNZ1342ZQS,2022-10-18,location,1954-09-21,male,other,Fraud
WIC3061YVV,2022-10-15,curfew,1959-08-20,female,white,Summary non-motoring
OLG0619OWR,2022-09-17,alcohol,1959-05-03,male,other,Other Indictable
IOH3535LDW,2022-09-04,alcohol,1951-09-29,female,unknown,Fraud
CTW7952WHX,2022-08-01,alcohol,1978-01-02,male,black,Fraud
IMI4339CYL,2022-10-22,curfew,1987-07-29,male,asian,Criminal Damage
WQM1642VDI,2022-11-05,location,1927-09-11,male,asian,Summary motoring
BVH3119DGX,2022-12-06,location,2004-01-10,male,other,Theft offence
LVS8146FUM,2022-10-22,alcohol,1961-09-04,female,asian,Other Indictable
AUI4379RAV,2022-09-25,alcohol,1954-12-07,male,white,Criminal Damage
NYI4382GWF,2022-09-02,alcohol,1968-02-29,male,unknown,Summary motoring
SYQ8675OVW,2022-08-22,location,1909-12-12,male,asian,Fraud
EJC8410AUI,2022-11-25,curfew,1905-04-12,male,white,Fraud
ZCY8036ZHW,2022-08-16,location,1954-04-14,female,mixed,Criminal Damage
CFR6920QHF,2022-08-01,alcohol,1910-06-12,female,unknown,Summary motoring
EBR1527KWX,2022-09-27,location,1912-05-08,male,asian,Other Indictable
ONB3743PVT,2022-12-09,alcohol,1916-03-16,male,black,Summary non-motoring
NKB9070DZK,2022-09-18,location,1956-08-10,female,other,Summary non-motoring
QFC3709OHX,2022-08-11,location,1986-04-08,male,asian,Theft offence
VUR4484VKG,2022-12-03,curfew,1971-03-21,female,mixed,Fraud
KEW5034MQM,2022-11-01,alcohol,1957-01-28,male,black,Summary non-motoring
DZG6990IDN,2022-08-26,alcohol,1904-11-10,female,unknown,Fraud
YGL2997NAG,2022-11-16,curfew,1935-08-23,female,white,Summary non-motoring
JIP8503QDM,2022-10-24,location,1962-03-17,male,black,Drug offence
ELQ9073CCA,2022-09-30,curfew,1938-06-16,female,white,Criminal Damage
ROR4055MCF,2022-09-18,curfew,1962-04-20,female,other,Theft offence
ZUJ6298PEV,2022-09-27,curfew,1975-12-06,male,mixed,Summary non-motoring
YYS0192SKG,2022-10-13,alcohol,1977-07-01,male,black,Summary motoring
WEH8563SQC,2022-10-11,location,1993-02-15,male,unknown,Summary non-motoring
XBW6719VGJ,2022-11-11,curfew,2002-05-16,male,unknown,Fraud
DYF9083POJ,2022-12-17,location,1928-02-19,female,other,Theft offence
MMO1971PEG,2022-12-01,curfew,1976-11-30,female,white,Drug offence
KXR1464AFU,2022-11-30,location,1918-02-10,female,asian,Theft offence
NKV9921WIB,2022-10-24,location,2000-10-28,male,unknown,Fraud
BTO3189DWO,2022-10-20,alcohol,1921-07-03,male,asian,Theft offence
MRK1861BDY,2022-12-21,curfew,1923-03-29,female,unknown,Summary non-motoring
XSW8918VHN,2022-10-27,curfew,1989-01-31,male,unknown,Violence against the person
JOJ1772NVK,2022-09-10,alcohol,2002-11-07,male,unknown,Theft offence
GYT3930DSG,2022-11-08,location,1970-01-30,male,mixed,Fraud
BLA5138EOF,2022-10-23,alcohol,2010-06-30,male,other,Summary non-motoring
XIM5025RBW,2022-08-28,alcohol,1951-06-08,male,white,Violence against the person
QWU3873TBE,2022-08-19,location,1961-10-26,female,white,Theft offence
NSJ3055DIO,2022-12-16,location,1947-06-26,male,black,Theft offence
CEJ6763XHA,2022-11-08,location,1986-03-01,female,asian,Other Indictable
IOU6854TWI,2022-11-07,location,2006-06-13,male,unknown,Theft offence
NWX8376KOX,2022-11-07,alcohol,1903-01-05,female,other,Theft offence
KHN2765DLW,2022-11-03,curfew,1930-08-12,female,unknown,Theft offence
UKB4447HGB,2022-09-16,location,2014-05-17,male,unknown,Summary non-motoring
TIV2398IBS,2022-08-11,alcohol,1963-05-27,female,mixed,Summary motoring
VEK3156OCE,2022-11-07,alcohol,1974-03-09,male,white,Violence against the person
BZA8550KYD,2022-12-06,alcohol,1944-04-01,female,unknown,Summary non-motoring
JBQ8060DKA,2022-09-04,curfew,2005-01-17,female,other,Drug offence
ETG6814XBE,2022-10-16,alcohol,1950-04-07,male,asian,Fraud
WCN4683TGY,2022-12-13,alcohol,2001-04-22,female,asian,Summary motoring
HAY0929ALK,2022-10-02,alcohol,2016-08-26,male,mixed,Summary motoring
UDD8872UNO,2022-11-05,alcohol,1964-08-04,male,mixed,Criminal Damage
WBF7743KBA,2022-10-06,alcohol,2000-09-23,female,other,Violence against the person
TLJ7706VJS,2022-10-18,curfew,1950-05-05,female,black,Criminal Damage
UZT3304QEE,2022-08-09,location,1964-10-16,female,asian,Drug offence
SIT5785EQE,2022-09-24,alcohol,1904-03-12,male,other,Criminal Damage
BYF6438VOB,2022-12-13,location,1910-01-20,male,asian,Summary motoring
DDX3521MXA,2022-10-10,curfew,1982-12-24,male,white,Criminal Damage
VTS7301ZQT,2022-08-19,curfew,2018-04-03,male,other,Summary non-motoring
PPQ8975ZDR,2022-11-28,alcohol,1931-09-26,female,mixed,Drug offence
HMV0960LQV,2022-12-09,alcohol,1982-11-19,male,white,Other Indictable
YJI5859BWJ,2022-08-02,alcohol,1979-03-18,female,unknown,Summary motoring
AQD3649HGR,2022-11-09,location,1911-12-11,male,mixed,Theft offence
CUQ0436KFT,2022-09-09,location,2017-09-07,male,other,Fraud
WJC5823KIQ,2022-09-07,location,1948-12-13,male,other,Violence against the person
JZH2126JHE,2022-10-23,location,1998-10-17,male,black,Fraud
EKX4378NTI,2022-11-19,location,1945-02-17,female,other,Summary non-motoring
NMM7367GJG,2022-12-12,alcohol,1907-01-28,male,other,Other Indictable
YZB5635GLY,2022-09-11,curfew,1997-03-04,male,asian,Criminal Damage
NGV1125WNZ,2022-08-18,curfew,2013-04-13,male,other,Summary motoring
DWK3520VVC,2022-08-20,curfew,1982-10-24,male,other,Drug offence
MUP7405JQY,2022-08-30,location,1929-02-17,male,other,Criminal Damage
DAC1207TOD,2022-09-29,location,1916-12-11,male,white,Violence against the person
KAC9240JBF,2022-11-15,location,1983-10-01,female,black,Theft offence
LXK5372YBX,2022-11-22,alcohol,1985-01-28,female,unknown,Violence against the person
AZI7364IZU,2022-12-05,alcohol,2011-12-19,female,unknown,Summary motoring
QQF9835VXG,2022-12-10,location,1916-07-01,male,unknown,Summary motoring
OXB1522WXU,2022-12-11,curfew,2006-01-08,male,other,Other Indictable
QYP4555AYK,2022-10-06,curfew,2013-01-21,male,asian,Summary non-motoring
EAC1975EGE,2022-12-18,curfew,1902-08-12,female,white,Criminal Damage
DHV4263ECB,2022-11-17,alcohol,1916-06-25,male,white,Criminal Damage
ZUT1318WCV,2022-08-09,curfew,2012-09-19,female,black,Fraud
FWA9105YAC,2022-11-07,alcohol,2004-02-04,female,mixed,Summary motoring
JIX4360QLL,2022-12-10,location,2006-02-03,female,black,Other Indictable
JAD8290RQY,2022-10-21,alcohol,1987-11-07,male,white,Theft offence
EEW4704QFK,2022-12-10,location,1975-08-20,male,other,Summary non-motoring
LFJ4365WNQ,2022-11-14,location,1969-07-22,female,other,Drug offence
ZEQ1636XXN,2022-08-19,curfew,1910-11-25,female,unknown,Criminal Damage
LWB7313UNQ,2022-11-21,curfew,1924-10-01,male,other,Criminal Damage
KBM8257NHR,2022-09-12,curfew,1993-10-31,female,black,Criminal Damage
UUO0622KYP,2022-08-06,alcohol,1995-12-03,female,other,Criminal Damage
MBZ9724AMH,2022-10-12,location,1944-08-22,female,asian,Other Indictable
AND7396QED,2022-11-12,curfew,1910-05-07,male,white,Fraud
LRS6973ZTJ,2022-11-11,alcohol,1991-07-29,female,other,Criminal Damage
MOX4848UHU,2022-09-19,alcohol,2013-04-08,female,asian,Criminal Damage
TDB5278OFV,2022-09-07,alcohol,1990-03-22,male,black,Summary motoring
VEA0314NRD,2022-08-07,curfew,1970-05-20,female,white,Other Indictable
UUN6352HRZ,2022-09-18,alcohol,1973-02-13,male,unknown,Summary non-motoring
BXO9078EYD,2022-09-03,curfew,1922-12-24,male,mixed,Summary motoring
ACT0409UVK,2022-11-17,alcohol,1985-03-28,female,mixed,Fraud
KFQ9224TBI,2022-09-25,curfew,1932-08-26,male,asian,Drug offence
TEJ1009CKB,2022-12-17,location,1911-03-07,male,black,Drug offence
HHO0575QTZ,2022-09-22,location,1955-08-14,female,mixed,Criminal Damage
SNY7692JOE,2022-11-14,curfew,1933-01-26,female,unknown,Theft offence
OFN8034LHP,2022-08-09,location,1932-07-20,male,asian,Summary non-motoring
GTJ7886BSI,2022-10-05,alcohol,2000-08-20,female,mixed,Theft offence
DPR6954FZP,2022-10-15,alcohol,1982-06-11,female,white,Theft offence
UOY4708ZCV,2022-11-08,alcohol,1952-09-26,male,asian,Theft offence
KWG5493RYA,2022-11-27,curfew,1952-05-01,female,black,Summary non-motoring
UIL5957SCN,2022-09-16,curfew,1909-08-12,female,black,Criminal Damage
RIM6794MNM,2022-12-19,location,1912-06-20,male,other,Violence against the person
XDJ0303AJN,2022-11-24,alcohol,1949-01-28,male,white,Other Indictable
ELA6646LUW,2022-10-14,curfew,1911-09-08,male,asian,Drug offence
CBA2970SAA,2022-08-12,curfew,1976-12-01,female,asian,Drug offence
JQK7979UWV,2022-08-05,alcohol,1970-10-23,female,white,Criminal Damage
BAK0569YDM,2022-08-09,location,2017-10-31,female,black,Fraud
WTS3619QWO,2022-09-24,location,1917-05-14,male,other,Summary motoring
TKZ2897FIF,2022-11-04,location,1985-12-16,female,asian,Violence against the person
XFZ4520YYA,2022-11-12,curfew,1942-06-11,male,mixed,Summary motoring
ERJ9138WHD,2022-10-25,curfew,1932-07-11,male,unknown,Other Indictable
TGQ6199SIE,2022-11-07,location,1945-09-27,male,other,Theft offence
GAT6451RFV,2022-09-28,location,1947-05-14,male,mixed,Summary motoring
PHQ4153RWY,2022-08-13,location,2009-10-09,female,black,Other Indictable
GKG2977NFV,2022-12-08,alcohol,1973-10-17,male,other,Other Indictable
XOL1901BMI,2022-10-01,curfew,1939-09-18,male,unknown,Summary motoring
CWL3620HOC,2022-12-14,location,1937-11-28,female,mixed,Theft offence
JZR3612GXX,2022-09-10,alcohol,1977-08-22,female,unknown,Summary non-motoring
NIW2786LIG,2022-12-25,location,1976-11-29,female,black,Summary non-motoring
CZU2439HSU,2022-11-14,alcohol,2004-03-16,male,mixed,Theft offence
CXP3302FCV,2022-09-19,location,1991-05-19,male,black,Summary non-motoring
YLI5700UJX,2022-08-17,alcohol,1967-03-01,female,unknown,Criminal Damage
FRR9578CJQ,2022-12-13,alcohol,2016-04-03,female,black,Theft offence
GOL6479SPE,2022-12-20,curfew,1946-10-27,female,unknown,Summary motoring
APC6894BDX,2022-11-20,curfew,1911-06-24,male,white,Theft offence
NDS7959CKI,2022-09-11,location,1902-01-27,male,black,Violence against the person
UIW6224NAT,2022-12-16,alcohol,1988-02-27,female,asian,Fraud
MGD1258SFL,2022-11-08,location,1901-08-17,male,asian,Fraud
AKQ2192KCK,2022-11-14,location,1994-12-17,male,other,Criminal Damage
NBB2233VKZ,2022-09-06,curfew,1972-11-09,female,unknown,Violence against the person
WKY3806BBC,2022-12-06,alcohol,1924-03-21,male,asian,Theft offence
WUA7856VZB,2022-10-01,curfew,2006-11-02,female,unknown,Summary non-motoring
EGI8903HYZ,2022-10-21,location,2003-06-10,male,other,Violence against the person
XNY6515LTH,2022-12-17,curfew,1972-02-05,female,unknown,Drug offence
ATZ2672AME,2022-09-30,location,2016-08-26,female,asian,Summary non-motoring
DNQ2191EZR,2022-09-08,alcohol,1933-05-14,male,black,Other Indictable
EYX0818ZGN,2022-11-10,curfew,1971-04-02,male,white,Drug offence
LVS7205DBO,2022-12-14,location,1973-03-11,male,asian,Drug offence
DPW5319PFL,2022-11-29,alcohol,2014-08-01,female,asian,Criminal Damage
ZVD4993DFR,2022-11-25,curfew,1937-12-14,male,asian,Fraud
ULL5938VPZ,2022-11-06,location,2008-11-01,male,black,Violence against the person
YRX8082QLZ,2022-10-10,alcohol,2008-07-07,male,mixed,Summary non-motoring
OGU9921SRN,2022-09-30,location,1977-04-05,female,other,Summary non-motoring
YFK3383VMG,2022-09-18,curfew,1913-07-03,female,other,Criminal Damage
QPV2656HNK,2022-08-03,alcohol,2016-05-17,male,unknown,Fraud
URN3824TDB,2022-08-14,alcohol,2001-12-30,female,other,Drug offence
ETN5655DIO,2022-11-13,location,1909-07-15,female,unknown,Criminal Damage
PNG2222QIM,2022-10-09,alcohol,1932-02-27,female,black,Criminal Damage
GYF0757GUO,2022-09-13,alcohol,1945-09-13,female,other,Criminal Damage
RSD6549GXY,2022-10-01,alcohol,1958-01-30,male,asian,Violence against the person
PIF9882PIO,2022-12-09,location,1996-12-09,male,mixed,Other Indictable
KEW2020BHI,2022-08-21,curfew,1934-02-21,female,white,Summary motoring
DRQ3793WVN,2022-08-28,alcohol,1945-02-22,male,mixed,Other Indictable
DOG4705TIN,2022-11-30,location,1909-08-25,male,white,Drug offence
FZF7756HAW,2022-12-24,location,1962-03-31,male,black,Summary motoring
DDU1027SSF,2022-12-16,alcohol,2003-07-26,male,unknown,Criminal Damage
BKC5852SVN,2022-11-15,alcohol,1962-07-11,female,mixed,Summary motoring
WRH1838WZI,2022-08-01,curfew,1909-02-18,male,white,Drug offence
OMZ3350WYC,2022-11-01,alcohol,1963-09-24,female,mixed,Other Indictable
DEU9993ABA,2022-09-09,curfew,2021-06-01,male,black,Theft offence
YDH3112FIH,2022-10-31,location,1994-01-04,female,white,Drug offence
DSQ7138GJU,2022-10-11,location,1991-10-24,male,other,Fraud
QHZ6765CGG,2022-10-07,location,1983-07-23,male,asian,Other Indictable
LSP2462YHB,2022-12-04,location,1942-09-04,male,asian,Theft offence
OLE4040GEM,2022-12-11,curfew,1987-04-20,male,asian,Theft offence
FMT5461HXB,2022-12-09,location,1927-11-08,male,mixed,Fraud
KDL0109VRE,2022-11-23,curfew,2015-06-09,male,black,Fraud
CFL6888SDX,2022-09-18,curfew,1942-06-14,male,unknown,Theft offence
ABQ2364OII,2022-12-16,alcohol,1902-11-18,male,other,Drug offence
FQU3596JRY,2022-10-23,curfew,1964-09-30,male,mixed,Summary motoring
TIK2073AZI,2022-10-24,location,2015-06-17,female,unknown,Criminal Damage
PZD7615WPH,2022-12-09,curfew,2016-04-04,female,asian,Fraud
QPZ7517FTI,2022-08-26,alcohol,1971-10-07,male,other,Summary non-motoring
ROT9954EOA,2022-11-06,alcohol,2002-01-20,female,mixed,Drug offence
XPU1102CDQ,2022-08-19,location,1912-10-15,female,black,Summary motoring
MUU0016SCY,2022-11-14,location,1973-12-11,female,asian,Summary motoring
YKM3479AVK,2022-09-18,location,2003-03-31,male,white,Violence against the person
YMA2040DKE,2022-08-10,alcohol,1911-05-17,male,mixed,Criminal Damage
VRZ7947YVT,2022-08-02,location,1954-06-17,female,white,Fraud
UJZ5804JYF,2022-12-23,location,1948-08-29,female,unknown,Criminal Damage
DYD5507IKQ,2022-11-08,location,1904-08-04,female,mixed,Drug offence
GXE3949YQA,2022-10-30,curfew,1938-06-10,female,mixed,Criminal Damage
OAB9297BJQ,2022-12-25,location,2002-10-13,female,unknown,Violence against the person
MLG8061WYG,2022-10-26,location,1962-01-13,female,mixed,Other Indictable
VWS8551LPV,2022-11-05,location,1993-07-24,female,other,Criminal Damage
MQU9959KIQ,2022-10-24,alcohol,1987-11-16,female,other,Drug offence
SVH4083GIF,2022-12-24,curfew,1987-08-05,female,black,Other Indictable
GJN5637WXS,2022-10-02,location,1995-10-18,female,white,Criminal Damage
FBP9687YVJ,2022-11-04,location,1986-12-23,female,white,Criminal Damage
BSF9617XCY,2022-11-25,alcohol,1936-07-17,female,mixed,Summary motoring
LZB2096ZHS,2022-09-11,location,2001-08-19,male,white,Summary motoring
AEU1422RWB,2022-08-04,location,1995-11-20,male,mixed,Summary motoring
EMT6043VBZ,2022-11-14,curfew,1900-07-25,male,other,Drug offence
ACK1430YFB,2022-11-26,alcohol,1989-09-24,male,unknown,Fraud
PNZ2219ZWK,2022-08-16,location,1997-10-06,male,black,Theft offence
BAT3745IOO,2022-10-11,curfew,1976-05-30,male,asian,Fraud
SKK8671BKX,2022-09-09,curfew,2006-08-02,female,other,Criminal Damage
OGD3563KJB,2022-12-12,alcohol,1994-03-13,female,unknown,Fraud
VMP0345SSR,2022-12-15,location,1941-12-24,female,black,Fraud
LSZ2188HAJ,2022-12-14,curfew,1936-06-07,male,asian,Summary non-motoring
RQP5029BXK,2022-10-24,alcohol,1916-12-29,female,black,Summary motoring
HFB1509OQP,2022-12-06,curfew,2013-03-22,female,unknown,Theft offence
RDW7257UAA,2022-11-21,curfew,1936-11-12,female,mixed,Criminal Damage
HWM5419KXT,2022-10-20,alcohol,2015-03-27,female,asian,Criminal Damage
UHZ0892YVS,2022-09-21,curfew,1965-02-01,female,other,Fraud
SFI5340SZJ,2022-11-22,curfew,1968-03-08,female,white,Summary motoring
HSF3032REW,2022-09-22,location,2003-06-20,female,mixed,Theft offence
UBC5077GTX,2022-12-05,location,1966-05-21,female,black,Other Indictable
HDZ4355VOQ,2022-09-23,location,1971-01-10,male,other,Criminal Damage
ZVE4300URV,2022-11-01,curfew,1966-09-20,female,mixed,Theft offence
BBI1248AEE,2022-12-12,alcohol,1985-03-06,male,unknown,Fraud
SXV0797HGJ,2022-09-07,location,1992-02-12,female,asian,Drug offence
PAS7135QOA,2022-09-09,location,1949-12-16,female,black,Criminal Damage
VYX8444QMB,2022-09-22,location,2004-02-07,female,unknown,Criminal Damage
THL1920LZC,2022-11-29,alcohol,1956-07-16,male,other,Criminal Damage
TQN5806KMC,2022-12-20,location,1986-01-25,female,other,Fraud
BDB0918SOU,2022-08-03,curfew,1968-03-29,male,unknown,Other Indictable
SRI8262JSV,2022-09-23,alcohol,1927-03-07,female,other,Other Indictable
OXR6369DMJ,2022-09-30,location,1931-12-20,female,black,Criminal Damage
EWY9910APX,2022-09-10,curfew,1971-04-18,female,black,Summary motoring
UUM1766BFC,2022-12-11,location,2007-07-12,male,asian,Other Indictable
ENK2672OMC,2022-11-13,curfew,1975-09-25,male,asian,Criminal Damage
HCT2957ICU,2022-08-21,alcohol,1996-01-15,female,other,Other Indictable
LQH4602RJQ,2022-11-29,curfew,1977-11-02,female,other,Drug offence
HFI4431BMF,2022-08-08,alcohol,1926-01-07,female,mixed,Violence against the person
BND7065QAO,2022-08-02,alcohol,1954-12-27,male,mixed,Drug offence
EHC8184MWJ,2022-10-18,curfew,2001-09-27,female,other,Fraud
SJU2619TGL,2022-08-23,location,2017-03-12,male,unknown,Summary non-motoring
SOE3695RZA,2022-09-01,curfew,2010-04-29,female,black,Summary motoring
GJX3656JPL,2022-08-27,curfew,1969-08-01,male,asian,Criminal Damage
EXO9300OUM,2022-08-22,curfew,1951-11-27,male,white,Theft offence
FJJ3729XBR,2022-12-23,alcohol,1927-04-28,female,mixed,Drug offence
HAW3842ZUY,2022-11-14,alcohol,2000-08-06,female,black,Summary non-motoring
TOC6385FYA,2022-09-28,location,1947-04-26,male,asian,Other Indictable
MDZ5243XTG,2022-10-26,location,1952-12-11,male,unknown,Summary non-motoring
STC5545TBJ,2022-09-29,curfew,1990-08-13,male,white,Violence against the person
DZI2125CGF,2022-09-03,alcohol,1907-11-04,male,unknown,Other Indictable
HVX5399CJK,2022-09-01,alcohol,2009-12-05,female,other,Criminal Damage
FMT1287HHF,2022-11-07,curfew,1935-06-27,male,other,Drug offence
YNU6894YIS,2022-11-08,location,1929-05-25,female,black,Summary non-motoring
DKY5263NLL,2022-12-04,location,1999-02-17,male,other,Other Indictable
LNQ4528ECG,2022-12-11,alcohol,2013-04-21,male,mixed,Criminal Damage
XGA7446CLJ,2022-11-05,curfew,1966-03-07,male,other,Violence against the person
EXQ4194FJS,2022-09-10,location,1990-06-29,female,unknown,Summary motoring
YUP2685ODT,2022-09-02,curfew,1938-01-14,male,mixed,Criminal Damage
VVC2777LGD,2022-08-03,location,1973-02-21,female,white,Summary non-motoring
JQL0075RXJ,2022-08-21,location,1958-03-05,female,other,Theft offence
FFC5164VXF,2022-10-11,curfew,1997-09-24,male,mixed,Other Indictable
WGE7746WPA,2022-12-14,curfew,2022-11-07,male,white,Summary motoring
GQE5167UWS,2022-09-14,curfew,1950-10-16,male,mixed,Violence against the person
MRH3544QNL,2022-09-30,alcohol,1966-07-09,female,black,Summary non-motoring
HGS4513FRB,2022-10-11,curfew,1998-12-02,female,asian,Theft offence
ZXW9544SAQ,2022-09-27,alcohol,1969-12-21,male,black,Theft offence
OVV9526NPM,2022-11-28,location,1919-01-12,male,black,Criminal Damage
URC2142GNV,2022-10-14,alcohol,1999-12-01,male,black,Fraud
VLP7391SIQ,2022-12-14,curfew,1971-09-21,male,white,Violence against the person
IPE5146LBU,2022-11-19,alcohol,1999-01-30,male,other,Other Indictable
NIV5071IZN,2022-09-11,curfew,1930-03-13,female,black,Drug offence
PRP7950UEL,2022-12-18,alcohol,2004-01-10,male,black,Other Indictable
HTO3519XOF,2022-10-03,location,1950-04-26,female,white,Theft offence
JHP8715KFJ,2022-12-25,curfew,1966-12-22,female,white,Theft offence
TVD4035GKB,2022-11-19,curfew,2007-08-31,male,mixed,Summary motoring
ECC0704BAE,2022-10-28,location,2006-03-15,male,other,Drug offence
SWY2966CQY,2022-08-28,curfew,1962-07-21,male,black,Criminal Damage
EKB5946MIW,2022-12-13,alcohol,1908-01-09,male,asian,Summary motoring
PRK2192GHE,2022-12-08,alcohol,1984-07-11,male,asian,Summary motoring
QGH5177IDZ,2022-11-27,location,1942-08-07,female,white,Summary non-motoring
SAB4043RYC,2022-11-26,curfew,1928-12-21,female,white,Summary motoring
OGV5230KBF,2022-10-05,location,2022-02-01,female,black,Criminal Damage
HBC8347JRM,2022-12-17,alcohol,1932-02-25,male,white,Criminal Damage
MBB5542AGO,2022-09-06,curfew,1977-12-23,female,white,Theft offence
RJM6636HWU,2022-08-11,curfew,1904-06-17,male,unknown,Violence against the person
AHH5454SJX,2022-08-13,alcohol,1997-09-21,female,asian,Summary motoring
OOR7205DEL,2022-09-10,curfew,1981-04-27,female,black,Fraud
RLN5253ISQ,2022-09-10,location,1902-01-22,female,black,Fraud
TAU4212TUW,2022-09-20,alcohol,2002-01-22,male,other,Other Indictable
TVO5033WLT,2022-10-24,location,1981-11-04,male,black,Summary motoring
DUK2228AHY,2022-08-03,curfew,1911-06-19,female,asian,Violence against the person
MYT2568HRU,2022-08-06,curfew,1976-04-14,female,mixed,Other Indictable
TGG0355AEE,2022-11-05,curfew,1925-10-28,female,asian,Violence against the person
DOF1095DNT,2022-10-09,location,2009-02-06,female,mixed,Summary motoring
PYS1526XPI,2022-09-13,location,1914-11-13,male,mixed,Fraud
GJI8942RXA,2022-08-27,location,1905-06-10,male,unknown,Summary motoring
NJC0001XCI,2022-11-15,location,1946-03-03,male,white,Criminal Damage
BMX3527DBW,2022-11-15,curfew,1925-03-18,male,unknown,Drug offence
SEM6428WJV,2022-11-11,alcohol,1957-11-12,female,mixed,Theft offence
NMR7521TOH,2022-11-16,location,1902-09-18,female,other,Theft offence
PMS8592FYC,2022-10-05,curfew,1984-11-21,female,black,Drug offence
UPT9894UDE,2022-08-07,alcohol,1936-12-03,female,white,Fraud
OMH5497LKK,2022-11-27,alcohol,1918-05-06,female,black,Fraud
USW1640YLZ,2022-10-28,location,1902-09-29,male,asian,Summary motoring
JBA9601PKH,2022-08-22,alcohol,1999-04-04,female,white,Summary motoring
XHB3870FAW,2022-08-02,curfew,1947-11-27,female,asian,Summary non-motoring
MVS6683OMI,2022-12-25,curfew,1908-04-11,male,other,Summary motoring
PNF5563EVY,2022-12-04,curfew,2012-01-15,male,mixed,Drug offence
WTA8104YYL,2022-12-06,location,1980-03-17,female,unknown,Drug offence
SIL5141FXL,2022-08-15,location,1970-11-15,female,asian,Fraud
SOT6837CUT,2022-11-09,location,1930-07-05,male,unknown,Violence against the person
KUJ9952MVK,2022-10-24,location,1971-02-28,male,unknown,Drug offence
DKN5152MCI,2022-11-18,location,1942-11-21,female,black,Summary motoring
UAS1632RQP,2022-10-09,location,1908-08-01,female,other,Fraud
JVC8756ZHY,2022-08-19,location,1961-07-16,female,black,Fraud
ZVI4314THG,2022-10-02,alcohol,1977-01-21,male,unknown,Other Indictable
DUO0680JDG,2022-08-25,location,1993-09-03,female,asian,Criminal Damage
XDT2658CNO,2022-10-10,curfew,2018-07-08,female,asian,Drug offence
YST0459MRX,2022-09-25,curfew,1919-01-09,female,white,Theft offence
LVD1871PMS,2022-09-29,curfew,2003-02-21,male,other,Fraud
HJH6798TKV,2022-12-04,alcohol,1968-12-16,male,white,Summary non-motoring
QMJ4057MOE,2022-12-05,curfew,1994-08-07,male,asian,Fraud
UCJ4621TER,2022-09-12,alcohol,1970-06-15,male,asian,Fraud
DNE4780NWZ,2022-08-27,curfew,2000-03-30,female,asian,Drug offence
WZN9060TQD,2022-11-15,location,1906-03-06,male,mixed,Other Indictable
KUZ2890YGD,2022-11-13,alcohol,1928-05-15,female,other,Theft offence
TOX6668XKM,2022-11-18,alcohol,1945-05-21,male,asian,Criminal Damage
HSZ9008NLT,2022-08-11,alcohol,1911-09-18,female,black,Theft offence
ZKP5192ANZ,2022-10-30,location,1978-01-07,male,other,Theft offence
XUZ2962TWE,2022-08-11,location,2010-03-17,male,asian,Fraud
EJG6408NZT,2022-12-24,curfew,1968-01-14,female,black,Summary non-motoring
ACE2048LBC,2022-11-01,curfew,1925-12-02,female,black,Violence against the person
IMO2603YLK,2022-12-25,alcohol,1902-09-28,male,asian,Violence against the person
ZKB2925BZI,2022-08-28,curfew,1927-08-03,female,white,Fraud
MRV4962RUL,2022-12-15,location,1989-04-09,male,mixed,Fraud
NKR7503LJS,2022-10-07,curfew,1943-01-07,male,other,Other Indictable
EQA3992OGT,2022-12-17,location,1917-03-26,male,other,Criminal Damage
TFM9896LBH,2022-08-26,curfew,1967-08-02,female,white,Drug offence
FGF6691ODA,2022-11-20,location,1974-02-17,female,mixed,Theft offence
PHU3769KVP,2022-08-15,curfew,1964-04-01,female,mixed,Drug offence
ZCR7129QYS,2022-12-01,alcohol,1945-01-13,male,white,Drug offence
AMN2561CXT,2022-11-22,alcohol,1977-06-08,male,mixed,Fraud
YDA6858YCX,2022-10-18,alcohol,1917-01-27,male,white,Summary motoring
PEI8109BGJ,2022-10-04,curfew,2014-05-09,male,white,Drug offence
VFO2250URO,2022-10-15,curfew,1925-07-29,male,mixed,Summary non-motoring
VED9036HSA,2022-11-09,alcohol,1913-07-06,male,asian,Violence against the person
OKI2931ORO,2022-09-14,alcohol,1958-12-26,female,mixed,Violence against the person
LKB2507GHF,2022-08-23,location,1938-11-08,male,unknown,Criminal Damage
DYI3819BTL,2022-11-29,alcohol,1992-02-08,male,mixed,Fraud
EEC6423GSN,2022-08-17,location,2020-06-26,female,unknown,Other Indictable
OHC5331XGF,2022-10-26,alcohol,1958-11-08,female,other,Fraud
QEE0550HZY,2022-08-05,location,1982-01-31,male,unknown,Summary non-motoring
TKO6053TNP,2022-12-11,curfew,1931-08-07,female,mixed,Summary non-motoring
STF6047XVT,2022-11-15,location,1929-01-18,male,white,Other Indictable
TLJ3005ABO,2022-09-17,location,2001-06-29,female,black,Fraud
